IterationNum,Loss,Latency,EdgeType,AUROC,AUPRC,APK
24,47.943428,0.0065000057220458984,0,0.6108264462809917,0.5773511682427022,0
48,46.868813,0.005459785461425781,0,0.5943801652892562,0.5807500956252727,0
72,46.303883,0.005693912506103516,0,0.5659504132231405,0.5618746282686089,0
96,40.818592,0.0059239864349365234,0,0.5761157024793389,0.5714365754186495,0
120,36.6109,0.006187915802001953,0,0.6080991735537191,0.6159008064667267,0
144,30.425497,0.006978034973144531,0,0.6265289256198348,0.6335706245881113,0
150,34.367302,0.006259918212890625,2,0.5487158441913751,0.5339921857820005,0
168,29.981895,0.006056785583496094,0,0.6335537190082644,0.6379064947474801,0
192,30.256329,0.005424022674560547,0,0.6414876033057851,0.6488713930382495,0
216,27.363232,0.006620883941650391,0,0.6490909090909092,0.6511700421524654,0
240,26.851915,0.005825042724609375,0,0.6566942148760331,0.6519702958883543,0
264,23.511074,0.0059320926666259766,0,0.6639669421487603,0.6634621556191936,0
288,23.649193,0.006379127502441406,0,0.6736363636363636,0.6734813769043375,0
300,31.534477,0.00679326057434082,1,0.6533884297520661,0.6104409895148963,0
312,24.871668,0.006231069564819336,0,0.6767768595041321,0.6761838239232839,0
336,22.077723,0.00560307502746582,0,0.7028925619834712,0.698560309565959,0
360,20.165258,0.005588054656982422,0,0.718099173553719,0.721812399987745,0
384,20.887783,0.005712270736694336,0,0.7174380165289256,0.7276989065279499,0
408,20.4317,0.00542902946472168,0,0.71,0.7213751335756629,0
432,19.588757,0.005624055862426758,0,0.716115702479339,0.714208678412735,0
450,22.83509,0.0055620670318603516,2,0.596628022297459,0.5875921017545619,0
456,19.645779,0.0059356689453125,0,0.7061157024793389,0.7059177542067776,0
480,20.406878,0.006491184234619141,0,0.7353719008264463,0.7316717503895394,0
504,16.804321,0.006000995635986328,0,0.7210743801652892,0.7132822996804521,0
528,17.973944,0.005778074264526367,0,0.7364462809917355,0.7262228429392472,0
552,15.497766,0.006204128265380859,0,0.7392561983471074,0.7354484649273851,0
576,14.542661,0.006043195724487305,0,0.7421487603305784,0.7281125199837584,0
600,19.217312,0.006175041198730469,0,0.7448760330578513,0.7387585019562746,0
600,19.217312,0.006175041198730469,0,0.7448760330578513,0.7387585019562746,0
624,16.57441,0.00656580924987793,0,0.7550413223140495,0.7449210539106272,0
648,14.142469,0.005736827850341797,0,0.7542148760330579,0.743297773450775,0
672,14.005037,0.00598597526550293,0,0.7556198347107439,0.7462345107377978,0
696,14.192541,0.005566835403442383,0,0.7537190082644629,0.7466656217789546,0
720,14.7357025,0.0068242549896240234,0,0.7603305785123967,0.7466036805197005,0
744,14.763672,0.005913972854614258,0,0.7531404958677687,0.7449168968662386,0
750,18.044746,0.008944034576416016,2,0.6088711056393421,0.5952344198204416,0
768,12.547645,0.007548809051513672,0,0.7650413223140495,0.7532221801679198,0
792,12.043499,0.008152246475219727,0,0.774710743801653,0.7590017415065796,0
816,16.92497,0.005625247955322266,0,0.7834710743801653,0.7631084962521215,0
840,13.304789,0.005813121795654297,0,0.7863636363636364,0.7670419749284252,0
864,11.492193,0.0059778690338134766,0,0.7723966942148761,0.7448283104191439,0
888,13.723751,0.006206989288330078,0,0.7836363636363636,0.7600858832020094,0
900,27.277428,0.006124019622802734,6,0.6728000000000001,0.6356032562293034,0
912,13.18167,0.006495952606201172,0,0.7872727272727273,0.7587031869070163,0
936,12.840715,0.006206035614013672,0,0.7913223140495866,0.7719899047831341,0
960,11.902062,0.007110118865966797,0,0.797603305785124,0.7812367708369841,0
984,11.835384,0.005772113800048828,0,0.8069421487603305,0.7829881611076375,0
1008,12.759995,0.005456209182739258,0,0.8014876033057851,0.7763617838479455,0
1032,12.988662,0.005575895309448242,0,0.8030991735537191,0.7857648148630263,0
1050,16.997017,0.0064661502838134766,2,0.6376320919257208,0.6077488589391482,0
1056,12.1152935,0.005539655685424805,0,0.8002479338842975,0.7813514171859778,0
1080,10.85025,0.005511760711669922,0,0.7990082644628099,0.7863644862694531,0
1104,10.174852,0.0059049129486083984,0,0.7988429752066115,0.7747942122765292,0
1128,11.945454,0.005803108215332031,0,0.8016528925619835,0.7821692710038286,0
1152,9.902796,0.005995035171508789,0,0.7951239669421487,0.7743667207444153,0
1176,12.67362,0.005975961685180664,0,0.8049586776859503,0.780724352375977,0
1200,12.9170685,0.006041049957275391,0,0.8142148760330579,0.7912349342704487,0
1200,12.9170685,0.006041049957275391,0,0.8142148760330579,0.7912349342704487,0
